title,company,location,link
머신러닝 엔지니어 모집,카카오,성남 판교역,https://kr.indeed.com/취업?jk=269f9a96319ef19a
2021년 하반기 각 부문별 신입 및 경력직,쎄트렉아이,대전 유성구,https://kr.indeed.com/취업?jk=7db11030d7bd72df
데이터센터 운영 도구 개발,NHN,성남 판교역,https://kr.indeed.com/취업?jk=0c8103efd26d466c
Embedded Software Engineer - Connected,GE Appliances,경기도 성남,https://kr.indeed.com/취업?jk=9193b9de45a0ac1c
[더나은인재들]인공지능(AI) 챗봇 개발자,더나은인재들,서울 강남구,https://kr.indeed.com/취업?jk=e529f07f1a62663a
[AI R&D] ML 엔지니어 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/취업?jk=732891b0721bf174
"빅데이터, 인공지능(AI) 외 신입/경력 인턴",스칼라웍스,대한민국,https://kr.indeed.com/취업?jk=dfb20fa220f3c478
"플랫폼 서비스 엔지니어 (DevOps, SRE) 모집",엔씨소프트,성남 판교역,https://kr.indeed.com/취업?jk=8caf5bd81e36fd69
금융 AI 기술 연구 개발자 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/취업?jk=04044b7adf40d7a4
[AI R&D] Language AI(NLP) Research 분야 수시 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/취업?jk=f60eb842043cd953
클라우드 오퍼레이션 엔지니어,NHN SOFT,성남 판교역,https://kr.indeed.com/취업?jk=1874aaee481880be
게임 데이터 서비스/플랫폼 개발,NHN,성남 판교역,https://kr.indeed.com/취업?jk=7dc3cf5537450b54
데이터 엔지니어 및 사이언티스트,카카오,성남 판교역,https://kr.indeed.com/취업?jk=d8a8869ab092f731
신세계건설] 신세계건설(주) 경력사원 모집,신세계,경기도,https://kr.indeed.com/취업?jk=78a2ca1dc3a054b6
추천 AI 기술 연구 및 개발자 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/취업?jk=165e4c7efa4020ce
"NAVER, LINE 서비스 플랫폼 운영",NIT Service,성남 삼평동,https://kr.indeed.com/취업?jk=5e7dc1196f13b938
[정보보안] 보안기반 분석 개발 담당자 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/취업?jk=e1d5405637b083e5
[디지털컨텐츠사] Andorid App 개발자,커리어라임즈,성남 분당구,https://kr.indeed.com/취업?jk=7775b827d4b88430
[2021신입공채] AI R&D - Language AI,엔씨소프트,성남 판교역,https://kr.indeed.com/취업?jk=b2ec89a78d374b9b
RTL 기반 HW IP 설계 엔지니어 (딥러닝 하드웨어 프로세서 개발),딥엑스,성남 분당구,https://kr.indeed.com/취업?jk=6ede042ebe53ba49
"시스템 개발, 웹개발 (java, python, c++)",샌즈랩,서울 강남구,https://kr.indeed.com/취업?jk=ea462b8b3cb0d224
아이템 서비스 개발 (대용량 데이터처리),아프리카TV,경기도 성남,https://kr.indeed.com/취업?jk=8e2b96836395bcb1
AR/VR SDK 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/취업?jk=662beff5f293820b
2021년 KTCA 한국기술사업화진흥협회 전문가 양성과정 과정별 무료 교육생,한국기술사업화진흥협회,대구 달서구,https://kr.indeed.com/취업?jk=7e1a22f30c051e91
[대형증권사] 파생퀀트,인코리아 프로페셔널,서울 강남구,https://kr.indeed.com/취업?jk=df560676217ba10f
모니터링 솔루션 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/취업?jk=e99d30a8f6947b41
"Software QA Infotainment Test Engineer, Bundang, Gyeonggi, K...",Tesla,경기도 성남,https://kr.indeed.com/취업?jk=20abdd225641e77a
시스템 엔지니어링,NHN,성남 판교역,https://kr.indeed.com/취업?jk=fc09bd46b913c048
[아이콘트롤스] 2021년 하반기 경력사원 모집,현대산업개발,서울특별시,https://kr.indeed.com/취업?jk=79b0a7b5d7be505d
[2021신입공채] Data Science,엔씨소프트,성남 판교역,https://kr.indeed.com/취업?jk=0a37efa0089eb318
광학·전자장비 신입/경력 정규직,모아소프트,서울 송파구,https://kr.indeed.com/취업?jk=765ed535ba15eea0
SoC ASIC 설계 엔지니어 (딥러닝 하드웨어 프로세서 개발),딥엑스,성남 분당구,https://kr.indeed.com/취업?jk=6a68b4e0dc19995e
빅데이터 분석 기술인력 (정규직),한국정보기술단,서울 강남구,https://kr.indeed.com/취업?jk=c793a3ef3425f495
IT 및 대인(소액)보상 신입 및 경력직,전국렌터카공제조합,경기도,https://kr.indeed.com/취업?jk=9087862be2f1d252
카카오 전사 QA 모집,카카오,성남 판교역,https://kr.indeed.com/취업?jk=a2b38b230474e622
보안 모니터링 시스템 개발 및 운영 담당자 모집,카카오,성남 판교역,https://kr.indeed.com/취업?jk=d13fce11058e6cf1
네트워크 엔지니어링,NHN,성남 판교역,https://kr.indeed.com/취업?jk=918468d6e12a17e8
데이터 서비스/플랫폼 개발,NHN,성남 판교역,https://kr.indeed.com/취업?jk=031eec3794f09645
인재 Pool 등록,S&I Corp.,대한민국,https://kr.indeed.com/취업?jk=e29bd57c416ee579
데이터표준품질부문 경력지 (정규직),한국정보기술단,과천 과천시,https://kr.indeed.com/취업?jk=47ff549b25cc6394
엔미디어플랫폼 데이터베이스 관리자 (DBA) 인재 안내,리더스소프트,성남 분당구,https://kr.indeed.com/취업?jk=d0ca27a97ddf91f9
[경기지역 우수중소기업 온라인 박람회],넷믹스,성남 분당구,https://kr.indeed.com/취업?jk=9144817ca6d5abb5
[한국타이어앤테크놀로지] 2021 하반기 신입사원 [Engineering],한국타이어,대전,https://kr.indeed.com/취업?jk=ce3949822aab014f
Autonomous Driving 분야 엔지니어,포티투닷,서울 강남구,https://kr.indeed.com/취업?jk=1e974ff27c6eb340
미국 법인 보안 담당자,NHN,성남 판교역,https://kr.indeed.com/취업?jk=7420bd6ad89ff63a
NHN Cloud 인프라 서비스 개발,NHN,성남 판교역,https://kr.indeed.com/취업?jk=56523d2ce6f8d860
[TmaxTibero/기술] DBMS 제품 QA 신입 및 경력,티맥스소프트,성남 분당구,https://kr.indeed.com/취업?jk=e862bb7cf9eedd84
게임데이터 분석 및 지표 개발자 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/취업?jk=d81985281acd89e3
[INEEJI 인공지능연구소] AI 예측 전문기업 개발팀원,인이지,성남 분당구,https://kr.indeed.com/취업?jk=6825074ac2d6f4ad
카카오톡 보이스톡/페이스톡/라이브톡 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/취업?jk=d585814d097935eb
데이터 분석가/사이언티스트(신입/인턴 가능),쏘카,제주도 제주,https://kr.indeed.com/취업?jk=55584c627df1acaa
광고데이터플랫폼 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/취업?jk=7b2496c8a71f02f2
[디지털컨텐츠사] DBA,커리어라임즈,성남 분당구,https://kr.indeed.com/취업?jk=2b4aadd8a66db150
데이터 인프라 담당자 모집,카카오,성남 판교역,https://kr.indeed.com/취업?jk=6fe5311eacbea17a
"IT기술지원, Perl 외 신입 정규직",피디에프솔루션세미컨덕터테크놀로지코리아,성남 분당구,https://kr.indeed.com/취업?jk=0b320306d06b0f92
NHN Cloud 운영 및 기술지원,NHN,성남 판교역,https://kr.indeed.com/취업?jk=ad07d6a330fb619a
[NIT Service] 네이버 파이낸셜 플랫폼 운영,엔아이티서비스,성남 분당구,https://kr.indeed.com/취업?jk=1961a1ecccb03336
AI R&D 데이터플랫폼 엔지니어 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/취업?jk=70301d47ff5a1ae3
네이버 파이낸셜 플랫폼 운영,NIT Service,성남 삼평동,https://kr.indeed.com/취업?jk=b3a6c83c9debcb92
[PBN] Back-End 프로그래머 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/취업?jk=e45a312040ca1ef0
[아이콘트롤스] 2020년 경력 직원 (기술연구소) 연구개발부문,HDC아이콘트롤스,성남 분당구,https://kr.indeed.com/취업?jk=63bd0323ac917d78
KDI 직원,한국개발연구원,세종특별자치시 세종,https://kr.indeed.com/취업?jk=1b904fed8585f7bf
아이나비 ADAS 영상처리 알고리즘 개발자 신입 및 경력 모집,팅크웨어(주) 관심기업 코스닥,성남 삼평동,https://kr.indeed.com/취업?jk=e96099b3e473d165
Design Verification 엔지니어 (딥러닝 하드웨어 프로세서 개발),딥엑스,성남 분당구,https://kr.indeed.com/취업?jk=a7e0d87ee0e9a7b9
2021 한솔케미칼 신입사원,한솔홀딩스,서울 중구,https://kr.indeed.com/취업?jk=0e09d8543b5cac55
Deep Learning Researcher (신입/경력/전문연구요원),Cognex Corporation,서울,https://kr.indeed.com/취업?jk=6143a95778cb0259
System SW 엔지니어,딥엑스,성남 분당구,https://kr.indeed.com/취업?jk=fc037709d0770796
[포털서비스] AB테스트 설계/분석 데이터 엔지니어 및 서버 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/취업?jk=b970fab4900ee5ec
연구소 개발부문 연구원 직원 (MCU 계측제어설계/머신비전/이미지프로세싱),모든,경기도 광명,https://kr.indeed.com/취업?jk=7923c67655cb2479
NHN Cloud 머신러닝 연구 및 개발,NHN,성남 판교역,https://kr.indeed.com/취업?jk=180dac6dbe6afaed
급구/사물인터넷(IoT)개발자 - 신입 가능,큐빅스,경기도 파주,https://kr.indeed.com/취업?jk=23123663f1b4172f
[카카오 클라우드]DBaaS(DataBase As A Service) 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/취업?jk=0c32e6464cad3b0a
Software Architecture 설계 엔지니어,딥엑스,성남 분당구,https://kr.indeed.com/취업?jk=7df915e1f0f86b2d
SK 렌터카 Data 분석 전문가 (신입/경력직) 영입,SK 렌터카,서울특별시,https://kr.indeed.com/취업?jk=c56eafbc1144a289
AI/빅데이터/클라우드 분야 (인재 Pool),LG유플러스,서울,https://kr.indeed.com/취업?jk=be95b5718905880f
부정행위 탐지를 위한 분석 전문가 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/취업?jk=890db7fa33f1e4a1
코스닥상장 금융데이터 대표 기업의 인덱스팀 전문요원,수커리어컨설팅,서울 강서구,https://kr.indeed.com/취업?jk=3beefc2110b4e5af
[IT운영팀] RPA 기획 설계 경력직 채용,한화그룹,서울,https://kr.indeed.com/취업?jk=b30ad1aab5c0a8fa
"Data Analyst, Global Supply Analytics",Criteo,서울,https://kr.indeed.com/취업?jk=a16214a9fa63d4d3
[신규 프로젝트] 기술 R&D 엔진 프로그래머 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/취업?jk=1530f9619218829a
[TmaxCloud/기술] QA 담당자,티맥스소프트,성남 분당구,https://kr.indeed.com/취업?jk=28d268343c75d465
[AI R&D] 플랫폼 개발 엔지니어 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/취업?jk=88a9929446db3d86
CloudNative Engineer,아프리카TV,경기도 성남,https://kr.indeed.com/취업?jk=0f284536b918df4f
[진행중] 우리은행 빅데이터사업부 전문직(데이터사이언티스트-분석) 채용공고,우리은행,서울 회현동,https://kr.indeed.com/취업?jk=bb3dd73bc58c31af
AI/빅데이터 분야 신입 및 경력사원(석/박사),LG디스플레이,서울 마곡역,https://kr.indeed.com/취업?jk=b0bf3b5d399e37c2
자동차 전장 ADAS 카메라 알고리즘 SW 개발 전문가,LG전자,서울특별시,https://kr.indeed.com/취업?jk=4f43a2e29f9f5c11
부정사용자 탐지 AI 기술 연구원 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/취업?jk=3ddb5b113338620f
헤지펀드운용팀 정규직 전환형 인턴사원,엑스포넨셜자산운용,대한민국,https://kr.indeed.com/취업?jk=062c9d536d6d22eb
Content 기반 Framework 개발 엔진 프로그래머 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/취업?jk=900add6c4d5cceb6
BigData 엔지니어 영입,카카오페이증권,성남 백현동,https://kr.indeed.com/취업?jk=6288753f5c7cd53b
대기업 계열사 빅데이터 사이언스 팀장 초빙의 건,에이치알니즈,서울 서초구,https://kr.indeed.com/취업?jk=96d5b8416a1f4d4f
[IT개발] Python 웹개발자 모집 (대리급),통로,서울,https://kr.indeed.com/취업?jk=d3153e37a5a129d0
"백엔드개발, IoT 시스템 데이터 플랫폼 개발자 채용",(주)엠마헬스케어 관심기업,성남 야탑동,https://kr.indeed.com/취업?jk=214a6d00cee6b791
렌더링 엔진 개발자 모집,스노우,성남 백현동,https://kr.indeed.com/취업?jk=8b5826f367d5c122
FDS 데이터분석/딥러닝/머신러닝 모형개발(수원 영통),인피니그루,수원 영통구,https://kr.indeed.com/취업?jk=3b9a4bb5dfb41c5a
모바일 게임 로그 설계 및 분석가 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/취업?jk=f43c7890445907ce
[인턴] Lighthouse 본부 웹서비스 개발자 인턴 채용 - 정규직 전환 가능,삼정 KPMG,서울 강남구,https://kr.indeed.com/취업?jk=b15288909dc2094b
[취업연계/무료교육] 스마트자동화 전문가 양성과정 교육생,한국산업기술협회,서울,https://kr.indeed.com/취업?jk=a412d2ba7044dfb3
"케이프투자증권 시장조성팀전제형 인턴 (기간연장, ~9/30)",케이프투자증권,대한민국,https://kr.indeed.com/취업?jk=05b515229ff400f3
Technical Game Design 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/취업?jk=b34bcfbc9714cfb1
"소프트웨어, Python 경력 정규직",이노반트테크놀로지스,서울 강남구,https://kr.indeed.com/취업?jk=864be0963e8989bd
2021년 상반기 R&D 개발자 (병역특례 가능/경력 무관),네오스텍,인천 연수구,https://kr.indeed.com/취업?jk=754be9e3d78fa802
스팸 및 어뷰징 분석/대응 시스템 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/취업?jk=a25c504ff473f758
[신규 프로젝트] [TL] MMORPG 테크니컬 아티스트 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/취업?jk=4de3a7c03e5b3e0f
[KSTEC] SW 프로그래머 경력사원 (수원 근무자),지식시스템,성남 분당구,https://kr.indeed.com/취업?jk=ef2729acb6d2165a
Developer / Designer recruit,마이뮤직테이스트,서울 논현동,https://kr.indeed.com/취업?jk=55a19c92c845685e
[연계 무료교육] 미라콤 협력회사 연계 IT 아카데미,멀티캠퍼스,서울 강남구,https://kr.indeed.com/취업?jk=069eb8ccfb874d6f
"개발자 - Python 프로그래밍과 Java, C 소스코드 분석",바인테크,서울 송파구,https://kr.indeed.com/취업?jk=b76daef7f5d8d763
2021년 하반기 수시채용,한화테크윈,성남 삼평동,https://kr.indeed.com/취업?jk=d6f30962332942d8
[DB금융투자] 2021년 하반기 신입사원 모집,DB그룹,서울 대치동,https://kr.indeed.com/취업?jk=109c5533ffdaaa84
[웹젠] 게임보안(경력),웹젠,성남 분당구,https://kr.indeed.com/취업?jk=2a7e11e1f1d0d822
"(주)트윔 개발자(경력직) 빅데이터,영상처리,머신비전/AI 딥러닝",트윔,경기도 화성,https://kr.indeed.com/취업?jk=a0dda478567db352
[강남/스타트업] 에이스랩 자율주행 엔지니어,에이스랩,서울 강남구,https://kr.indeed.com/취업?jk=b6d169aa029a45a6
[글로벌컨설팅사] Data analytics,인코리아 프로페셔널,서울,https://kr.indeed.com/취업?jk=386b6e765b9e64bc
[아이티윌부산] IT 취업교육 자바모바일 실무 개발자 / 네트워크 파이썬 전문가,아이티윌 부산교육센터,부산 부산진구,https://kr.indeed.com/취업?jk=328ab06c6013179a
Machine Learning Engineer (LINE AI Services Lab),LINE Plus corporation,대한민국,https://kr.indeed.com/취업?jk=8e427bfa23c2365d
"빅데이터, (AI)인공지능 외 신입/경력 인턴 (정규직전환)",스칼라웍스,서울 금천구,https://kr.indeed.com/취업?jk=abbb8df34c660e0a
Back-end Engineer (Python),Soomgo,서울 강남구,https://kr.indeed.com/취업?jk=752a4b5d63eac97c
[신입/경력] 의료영상/음성인식/생체신호 연구원,뷰노코리아,서울 서초구,https://kr.indeed.com/취업?jk=c35e9b72a11aa338
[전문연구요원 신규편입/전직] SW Engineer/Backend/Frontend 개발자,뷰노코리아,서울 서초구,https://kr.indeed.com/취업?jk=c4145dce440c02f8
부문별 신규직원,심소프트,세종특별자치시,https://kr.indeed.com/취업?jk=6d32c5c83a3357a2
[카카오맵] 검색/추천 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/취업?jk=3d6c266ae2b4771e
"웹개발, Python 외 신입/경력 계약직",쿠바로엠앤씨,서울 강서구,https://kr.indeed.com/취업?jk=84fd9f9deb6105b0
국제시장 Analyst & Data Scientist,코리아피디에스,서울 마포구,https://kr.indeed.com/취업?jk=f43ce6c9492e1cd0
농심엔지니어링 정기,농심엔지니어링,대한민국,https://kr.indeed.com/취업?jk=b657381b65c13212
Expat: Experimental Physicist Tuning and Monitoring,IMS Nanofabrication,경기도 화성,https://kr.indeed.com/취업?jk=c5a2d1029018e4ba
[웹젠] TA(Unreal Engine 4)(경력),웹젠,성남 분당구,https://kr.indeed.com/취업?jk=03f0845ceed4ab40
티맵모빌리티 서버개발자 - EV충전서비스,티맵모빌리티,서울특별시,https://kr.indeed.com/취업?jk=7da03d182cfb2dd5
Operations Associate - Remote - Crypto/Fintech,Kraken Digital Asset Exchange,,https://kr.indeed.com/취업?jk=22fd5b99c266e7b9
Linux/Python/PHP/MySQL/백엔드 정규직 경력,일루미나리안,용인 보정동,https://kr.indeed.com/취업?jk=04d685fc70b67d4e
"빅데이터연구소 경력 직원 모집(DBA, GIS분석, 부동산DB연구)",부동산114,성남 삼평동,https://kr.indeed.com/취업?jk=d74f2a9064a25a6a
[쿠키런: 킹덤] Business Data Analyst (경력),데브시스터즈,서울 강남구,https://kr.indeed.com/취업?jk=e0bea0fa75a73409
Wind Resource Analyst Offshore (KR),RWE Renewables Korea LLC,서울,https://kr.indeed.com/취업?jk=b1df05a19043bcc0
[디어젠] 서비스개발그룹 신입/경력 정규직,디어젠,서울 서초구,https://kr.indeed.com/취업?jk=907127d8cff7d3ae
"데이터마이닝, 빅데이터 큐레이터 외 신입/경력 정규직",에임즈인터내셔널코리아,서울 강남구,https://kr.indeed.com/취업?jk=1d89fe4b37ab05ed
[전문연구요원 신규편입/전직] 의료영상/음성인식/생체신호 연구원,뷰노코리아,서울 서초구,https://kr.indeed.com/취업?jk=40de6a4b81f8724f
[부산 IT 무료 취업 교육 ] 자바(JAVA) 스프링(Spring) 웹 앱 개발자 양성 B,아이티윌 부산교육센터,부산 부산진구,https://kr.indeed.com/취업?jk=35b643ef606f648e
프랭클린템플턴투신운용 Junior Trader (Quant base 필수),프랭클린템플턴투신,대한민국,https://kr.indeed.com/취업?jk=4adac8923476d038
번역 자연어 처리 R&D팀장,(주)보이스루,서울 강남구,https://kr.indeed.com/취업?jk=4f431aacdc9fbb21
소프트웨어 개발 연구원,(주)하드커널,경기도 안양,https://kr.indeed.com/취업?jk=847b83c4abbb47d8
[농심ENG] 신입/경력사원 정기채용,농심그룹,서울 신대방동,https://kr.indeed.com/취업?jk=1d0e51e2e431995b
"마케팅 전략, e-Commerce 비즈니스 사업/운영전략, 소비자 데이터 분석(Data Analytics),",코어포인트,서울 송파구,https://kr.indeed.com/취업?jk=d1d19ef1b147591a
System Engineer,아프리카TV,경기도 성남,https://kr.indeed.com/취업?jk=d4412b208f5b11de
Support Engineer- Developer,Microsoft,서울,https://kr.indeed.com/취업?jk=f8691758f74c5242
머신러닝 프레임워크 엔지니어,모빌린트,서울 강남구,https://kr.indeed.com/취업?jk=5aa52f617731d74d
파이썬 개발자 초중급 이상,데이터앤솔루션,서울 서초구,https://kr.indeed.com/취업?jk=d158e683dc0b7500
석유화학업종 경력 Data Scientist 대기업 정규직,1조 매출 규모의 석유화학 대기업,서울,https://kr.indeed.com/취업?jk=2049f9fea1c23485
MySQL Engineer 모집,카카오,성남 판교역,https://kr.indeed.com/취업?jk=8f972027b6bfa9e5
A.I 인공지능 개발 경력직,파이프트리스마트팜,서울 송파구,https://kr.indeed.com/취업?jk=f0db02b55ac0f284
[석유화학 대기업] Data Scientist,커리어라임즈,서울 서대문구,https://kr.indeed.com/취업?jk=50c4c65ec72ca5be
Research Engineer Intern (Machine Learning),"Seoul Robotics Co., Ltd",서울,https://kr.indeed.com/취업?jk=49fd1a7248d3ff47
[Tridge] Junior Software Engineer - Backend (신입/경력),트릿지,서울 서초구,https://kr.indeed.com/취업?jk=edb86174fbe42b0b
"Sales - Sales Operations Specialist, Seoul, Korea",Tesla,서울,https://kr.indeed.com/취업?jk=01bd5372e531d949
"백엔드, 웹개발 경력 정규직 - 스타트업/워라밸/수평문화/연봉최대협의",티에스커리어,안양 동안구,https://kr.indeed.com/취업?jk=e03c3db92d5c1291
Diploma Student / Intern - Software Engineering Intern - Kor...,SAP,서울,https://kr.indeed.com/취업?jk=38fdadeba3dae05f
Python Programmer,Mofac,서울 서초구,https://kr.indeed.com/취업?jk=df21e3bb5d773616
"Field Applications Engineer, Audio",Dolby,서울,https://kr.indeed.com/취업?jk=7cb5c3076d1701db
QA Engineer,"Seoul Robotics USA, Inc.",서울,https://kr.indeed.com/취업?jk=8dcd45f0d31410c7
"경남 ICT 이노베이션스퀘어 사업 인공지능, 블록체인 교육생",재단법인경남테크노파크,창원 마산회원구,https://kr.indeed.com/취업?jk=11e864467b976aa6
Application Engineer Korea,IMS Nanofabrication,경기도 화성,https://kr.indeed.com/취업?jk=aa13332a8009c705
DGIST 2019년 제1차 계약직원 공개채용 공고,대구경북과학기술원,대구 현풍면,https://kr.indeed.com/취업?jk=4cd34228af5013fd
[글로벌컨설팅사] Data Scientist,인코리아 프로페셔널,서울,https://kr.indeed.com/취업?jk=bc808a2840a24425
